,Ticker,Company,Sector,Industry,P/E,EPS (ttm),Insider Own %,Perf Week %,Market Cap,Forward P/E,EPS next Y %,Insider Trans %,Perf Month %,PEG,EPS next Q,Inst Own %,Short Float %,Perf Quarter %,P/S,EPS this Y %,Inst Trans %,Short Ratio,Perf Half Y %,Book/sh,P/B,ROA %,Target Price,Perf Year %,Cash/sh,P/C,EPS next 5Y %,ROE %,Perf YTD %,Dividend,P/FCF,EPS past 5Y %,ROI %,52W High %,Beta,Dividend % %,Quick Ratio,Sales past 5Y %,Gross Margin %,52W Low %,ATR,Current Ratio,Sales Q/Q %,Oper. Margin %,RSI (14),Volatility %,Debt/Eq,EPS Q/Q %,Profit Margin %,Rel Volume,LT Debt/Eq,Earnings,Avg Volume,Price,Volume,Market Cap 2,Death MACD,Golden MACD,50-MA,200-MA,50 %,200 %,MOM-25,EMOM-25,ETF,Tick
0,AAPL,Apple Inc.,Technology,Consumer Electronics,32.83,3.7,0.07,0.13,2033870000000.0,25.94,5.17,-5.09,-9.35,2.23,0.98,59.8,0.53,-1.35,6.91,10.2,0.0,0.81,-7.6,3.91,31.05,19.4,151.75,65.81,4.59,26.47,14.69,90.6,-8.49,0.82,30.79,7.3,31.7,-16.31,1.24,0.68,1.1,3.3,38.8,128.44,4.03,1.2,21.4,25.2,37.58,3.65% 2.80,1.69,34.6,21.7,1.41,1.5,NAN,108.89M,121.42,"153,162,853",2033.87B,2021-02-01,2021-01-22,131.4026057434082,113.6129425430298,-7.596961785446919,6.871626843053864,97.866,100.522,"ARKF,ARKQ,QQQ,PTF",AAPL
1,ABBV,AbbVie Inc.,Healthcare,Drug Manufacturers - General,39.37,2.71,0.1,-0.97,187700000000.0,7.73,11.03,-31.52,-0.23,8.26,2.79,69.1,0.81,1.63,4.1,-48.5,-1.28,1.98,13.57,7.39,14.44,3.4,120.67,17.76,4.82,22.14,4.77,51.1,-0.42,5.2,20.69,-2.8,12.7,-5.92,0.81,4.87,0.7,14.9,66.4,70.58,2.52,0.8,59.2,24.8,50.36,1.91% 2.16,6.58,-99.4,9.9,1.0,5.93,NAN,7.22M,106.7,"7,245,597",187.70B,2021-03-05,2021-02-23,106.40996231079102,95.80626640319824,0.27256629258252635,11.37058566811879,99.383,101.884,ARKG,ABBV
2,ABMD,"Abiomed, Inc.",Healthcare,Medical Devices,68.54,4.39,0.9,-7.19,13450000000.0,61.24,2.2,-7.19,-7.67,4.01,1.1,97.2,2.9,13.56,16.55,-21.0,-0.14,3.76,-3.68,27.91,10.79,15.4,378.0,94.95,10.89,27.66,17.1,17.4,-7.09,0.0,56.79,10.8,17.9,-22.25,1.37,0.0,5.1,29.6,80.9,153.1,14.41,5.8,4.6,27.1,37.6,5.36% 3.71,0.0,-10.6,24.7,1.2,0.0,NAN,340.43K,301.22,"407,849",13.45B,2021-01-27,2021-01-20,325.56379943847656,285.31780052185064,-7.477428227728036,5.573504158893703,99.411,103.491,QQQJ,ABMD
3,ACAD,ACADIA Pharmaceuticals Inc.,Healthcare,Biotechnology,0.0,-1.79,0.1,0.02,7520000000.0,68.7,165.1,-48.36,-0.69,0.0,-0.58,95.8,3.89,-10.51,17.03,-12.0,-1.15,6.68,24.89,3.94,12.43,-36.5,62.9,10.34,4.11,11.91,25.0,-43.6,-8.38,0.0,0.0,-1.8,-45.8,-16.59,1.22,0.0,6.7,491.5,95.3,63.16,2.52,6.8,23.1,-64.9,48.17,6.34% 4.66,0.0,-22.2,-63.7,1.87,0.0,NAN,917.64K,48.98,"1,717,932",7.52B,2021-02-24,2021-02-08,51.341399993896495,47.736349983215334,-4.599407094814756,2.605247399983336,92.895,97.063,QQQJ,ACAD
4,ACCD,"Accolade, Inc.",Healthcare,Health Information Services,0.0,-1.13,3.9,-9.93,2180000000.0,0.0,63.4,-7.06,-25.7,0.0,-0.14,58.5,4.96,-19.94,13.99,9.1,36.51,3.14,15.81,5.82,6.86,-37.3,58.56,0.0,4.07,9.8,26.1,33.2,-8.23,0.0,0.0,0.0,20.5,-38.82,0.0,0.0,3.5,0.0,43.4,39.19,3.74,3.5,23.9,-29.2,32.86,10.05% 7.36,0.0,-45.6,-31.8,2.11,0.0,NAN,801.69K,39.92,"1,693,391",2.18B,2021-02-10,2021-02-09,49.82379981994629,,-19.87764854494585,,100.742,102.611,ARKG,ACCD
5,ACIC,Atlas Crest Investment Corp.,Financial,Shell Companies,0.0,0.0,0.0,-7.31,551500000.0,0.0,0.0,0.0,2.22,0.0,0.0,9.6,0.0,0.0,0.0,0.0,0.0,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.64,0.0,0.0,0.0,0.0,-40.7,0.0,0.0,0.0,0.0,0.0,13.36,1.34,0.0,0.0,0.0,42.23,10.24% 10.34,0.0,0.0,0.0,1.86,0.0,,3.45M,11.03,"6,425,989",551.50M,2021-02-25,2021-02-02,11.498800010681153,,-4.076947248805864,,122.376,121.654,ARKQ,ACIC
6,ACIW,"ACI Worldwide, Inc.",Technology,Software - Infrastructure,63.08,0.61,1.0,0.08,4400000000.0,31.26,21.29,-3.34,-3.41,5.26,-0.07,0.0,3.35,3.37,3.4,19.0,-0.82,5.57,26.58,9.63,3.98,2.4,45.57,30.19,1.17,32.86,12.0,7.0,-0.36,0.0,24.09,-0.5,4.7,-11.42,1.21,0.0,1.5,4.4,51.9,91.16,1.37,1.5,-11.0,13.0,43.74,4.01% 3.09,1.13,-49.9,5.9,0.9,1.1,NAN,686.98K,38.29,"617,506",4.40B,2021-02-24,2021-02-04,39.44299987792969,32.05025000572205,-2.9232053380778678,19.46864686910069,104.102,105.587,XSW,ACIW
7,ACN,Accenture plc,Technology,Information Technology Services,30.58,8.16,0.1,-0.55,166850000000.0,27.51,10.33,-15.36,0.46,3.08,1.89,74.0,0.74,-0.06,3.73,7.3,-0.56,2.36,0.94,28.23,8.84,14.6,281.36,36.67,12.98,19.23,9.93,31.6,-4.48,3.52,26.28,10.6,28.9,-7.99,1.12,1.41,1.5,6.1,31.8,81.92,5.75,1.5,3.5,14.8,44.4,2.52% 2.00,0.0,11.0,11.7,1.54,0.0,03/18,1.99M,249.51,"3,070,207",166.85B,2021-03-03,2021-03-02,255.31624420166017,233.22961174011232,-2.274138184906929,6.9804121948412385,98.993,101.052,XSW,ACN
8,ADBE,Adobe Inc.,Technology,Software - Infrastructure,40.58,10.86,0.1,-4.1,210790000000.0,33.23,17.85,-25.02,-8.53,2.43,2.79,85.8,1.03,-8.4,16.38,80.5,-0.77,1.86,-17.42,27.58,15.98,23.5,563.3,25.58,12.53,35.18,16.67,45.4,-11.86,0.0,39.71,54.3,30.6,-17.89,0.96,0.0,1.5,21.8,86.6,72.79,14.04,1.5,14.4,32.9,33.55,3.44% 2.53,0.31,167.0,40.9,1.72,0.31,03/23,2.64M,440.83,"4,538,917",210.79B,2021-02-22,2021-02-02,477.9123992919922,464.04800094604485,-7.759246118520522,-5.003361914868897,99.426,99.491,"ARKW,QQQ,PTF,PSJ,XSW",ADBE
9,ADI,"Analog Devices, Inc.",Technology,Semiconductors,39.44,3.77,0.1,-4.45,54170000000.0,22.28,10.65,-28.53,0.88,3.35,1.45,97.4,8.67,5.84,9.25,-10.0,2.96,11.68,22.2,32.74,4.55,6.5,179.11,36.75,2.88,51.68,11.79,11.8,0.78,2.76,54.58,8.3,8.2,-9.44,1.32,1.85,1.2,10.3,66.4,88.28,5.29,1.6,19.6,28.8,44.05,3.82% 3.13,0.43,90.1,24.0,1.48,0.39,NAN,2.73M,148.88,"4,039,943",54.17B,2021-02-25,2021-02-11,152.78758453369142,129.24876308441162,-2.557527527918836,15.188723239670251,101.736,104.142,QQQ,ADI
