,Ticker,ETF
0,1833,ARKF
1,3690,ARKF
2,4477,ARKF
3,4689,ARKF
4,6060,ARKF
5,9923,ARKF
6,AAPL,"ARKF,ARKQ,QQQ,PTF"
7,ABBV,ARKG
8,ABMD,QQQJ
9,ACAD,QQQJ
10,ACCD,ARKG
11,ACIC,ARKQ
12,ACIW,XSW
13,ACN,XSW
14,ADBE,"ARKW,QQQ,PTF,PSJ,XSW"
15,ADI,QQQ
16,ADP,"QQQ,XSW"
17,ADPT,ARKG
18,ADS,XSW
19,ADSK,"ARKQ,QQQ,XSW"
20,ADYEN,ARKF
21,ADYEY,ARKW
22,AGYS,XSW
23,AKAM,QQQJ
24,ALGN,QQQ
25,ALNY,QQQJ
26,ALRM,XSW
27,ALTR,XSW
28,ALXN,QQQ
29,AMAT,QQQ
30,AMD,"QQQ,PTF"
31,AMGN,QQQ
32,AMRN,QQQJ
33,AMSWA,XSW
34,AMZN,"ARKF,ARKQ,QQQ"
35,ANSS,"ARKQ,QQQ,XSW"
36,AONE,ARKQ
37,API,ARKW
38,APPF,XSW
39,APPN,XSW
40,APPS,"PTF,XSW"
41,AQB,ARKG
42,ARCT UQ,ARKG
43,ASML,QQQ
44,ATEN,XSW
45,ATVI,"QQQ,PSJ,XSW"
46,AVAV,ARKQ
47,AVGO,QQQ
48,AVLR,"PSJ,XSW"
49,AVYA,"PSJ,XSW"
50,AY,TAN
51,AYX,XSW
52,AZPN,"QQQJ,XSW"
53,AZRE,TAN
54,BABA,"ARKF,ARKQ"
55,BAH,XSW
56,BAND,PSJ
57,BEAM,"ARKK,ARKG"
58,BEKE,"ARKW,ARKK,ARKF"
59,BFLY,ARKG
60,BIDU,"ARKW,ARKK,ARKQ,QQQ"
61,BIIB,QQQ
62,BILL,"ARKF,PTF,XSW"
63,BKI,"PSJ,XSW"
64,BKNG,QQQ
65,BL,"PSJ,XSW"
66,BLI,"ARKK,ARKG"
67,BLKB,XSW
68,BMRN,QQQ
69,BMY,ARKG
70,BNFT,XSW
71,BOX,XSW
72,BR,XSW
73,BRKR,QQQJ
74,BYDDY,ARKQ
75,CACI,XSW
76,CAP,TAN
77,CASS,XSW
78,CASY,QQQJ
79,CAT,ARKQ
80,CATM,XSW
81,CDAY,XSW
82,CDK,"QQQJ,XSW"
83,CDNA,ARKG
84,CDNS,"QQQ,PTF,XSW"
85,CDW,QQQ
86,CDXS,ARKG
87,CERN,QQQ
88,CERS,"ARKK,ARKG"
89,CGEN,"ARKK,ARKG"
90,CGNX,QQQJ
91,CHKP,QQQ
92,CHRW,QQQJ
93,CHTR,QQQ
94,CLDR,XSW
95,CLLS,ARKG
96,CMCSA,QQQ
97,CMLF,ARKG
98,CNDT,XSW
99,COLM,QQQJ
100,COST,QQQ
101,COUP,"QQQJ,XSW"
102,CPRT,QQQ
103,CRM,"PTF,XSW"
104,CRNC,"PTF,PSJ,XSW"
105,CRSP,"ARKK,ARKG"
106,CRWD,"ARKW,PTF,XSW"
107,CSCO,QQQ
108,CSGS,XSW
109,CSIQ,TAN
110,CSOD,XSW
111,CSTL,ARKG
112,CSX,QQQ
113,CTAS,QQQ
114,CTSH,"QQQ,XSW"
115,CTXS,"QQQ,PSJ,XSW"
116,CVLT,XSW
117,CWEN,TAN
118,DBX,XSW
119,DCT,XSW
120,DDOG,XSW
121,DE,ARKQ
122,DISCA,QQQJ
123,DISCK,QQQJ
124,DISH,QQQJ
125,DKNG,"ARKW,ARKF"
126,DLB,PSJ
127,DLTR,QQQ
128,DMRC,XSW
129,DOCU,"ARKW,ARKK,ARKF,QQQ,PSJ,XSW"
130,DOMO,"PTF,XSW"
131,DOX,QQQJ
132,DQ,TAN
133,DSY,ARKF
134,DT,"PSJ,XSW"
135,DXC,XSW
136,DXCM,QQQ
137,EA,"QQQ,PSJ,XSW"
138,EBAY,QQQ
139,EBIX,XSW
140,ECOM,XSW
141,EDIT,"ARKK,ARKG"
142,EEFT,"QQQJ,XSW"
143,EGHT,XSW
144,EGOV,XSW
145,ENPH,"TAN,PTF"
146,ENTG,"QQQJ,PTF"
147,ENV,XSW
148,EPAM,"PTF,XSW"
149,EPAY,XSW
150,ESLT,ARKQ
151,ESTC,XSW
152,EVBG,"PSJ,XSW"
153,EVGN,ARKG
154,EVOP,XSW
155,EVTC,XSW
156,EXAS,"ARKK,ARKG"
157,EXC,QQQ
158,EXLS,XSW
159,EXPC,ARKQ
160,EXPD,QQQJ
161,EXPE,QQQ
162,FANG,QQQJ
163,FAST,QQQ
164,FATE,"ARKK,ARKG"
165,FB,"ARKW,ARKF,QQQ"
166,FEYE,XSW
167,FFIV,QQQJ
168,FICO,"PSJ,XSW"
169,FIS,XSW
170,FISV,"QQQ,XSW"
171,FIVE,QQQJ
172,FIVN,"PTF,PSJ,XSW"
173,FLEX,QQQJ
174,FLIR,"ARKQ,QQQJ"
175,FLT,XSW
176,FOUR,XSW
177,FOX,QQQ
178,FOXA,QQQ
179,FSLR,TAN
180,FSLY,ARKW
181,FTNT,"QQQJ,XSW"
182,FWONK,QQQJ
183,G,XSW
184,GBTC,ARKW
185,GH,"ARKG,QQQJ"
186,GILD,QQQ
187,GLUU,"PSJ,XSW"
188,GNTX,QQQJ
189,GOGO,PTF
190,GOOG,"ARKQ,QQQ"
